Timestamp,D0,S0,D1,S1,D2,S2,D3,S3,D4,S4,D5,S5,D6,S6,D7,S7,D8,S8,D9,S9,D10,S10,D11,S11,D12,S12,D13,S13,D14,S14,D15,S15,D16,S16,D17,S17
1537440740.00000,29,OFF,2,OFF,-7,OFF,19,OFF,-42,OFF,10,OFF,12,OFF,23,OFF,16,OFF,43,OFF,25,OFF,16,OFF,-2,OFF,20,OFF,22,OFF,11,OFF,23,OFF,15,OFF
1537440740.10837,-1,OFF,1,OFF,-3,OFF,2,OFF,2,OFF,2,OFF,2,OFF,1,OFF,4,OFF,5,OFF,1,OFF,0,OFF,-1,OFF,2,OFF,0,OFF,2,OFF,2,OFF,3,OFF
1537440740.21674,-1,OFF,1,OFF,-3,OFF,2,OFF,2,OFF,2,OFF,2,OFF,1,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,-3,OFF,0,OFF,-4,OFF,2,OFF,3,OFF
1537440740.32511,-1,OFF,1,OFF,4,OFF,2,OFF,2,OFF,2,OFF,2,OFF,1,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,3,OFF,0,OFF,5,OFF,2,OFF,3,OFF
1537440740.43348,-1,OFF,1,OFF,-5,OFF,2,OFF,2,OFF,2,OFF,2,OFF,1,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,-4,OFF,0,OFF,5,OFF,2,OFF,3,OFF
1537440740.54185,-1,OFF,1,OFF,4,OFF,2,OFF,2,OFF,2,OFF,2,OFF,-5,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,1,OFF,0,OFF,5,OFF,2,OFF,3,OFF
1537440740.65022,-1,OFF,1,OFF,4,OFF,2,OFF,2,OFF,2,OFF,2,OFF,3,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,-3,OFF,0,OFF,5,OFF,2,OFF,3,OFF
1537440740.75859,-1,OFF,1,OFF,4,OFF,2,OFF,-4,OFF,2,OFF,2,OFF,3,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,1,OFF,0,OFF,5,OFF,2,OFF,3,OFF
1537440740.86696,-1,OFF,1,OFF,4,OFF,2,OFF,2,OFF,2,OFF,2,OFF,-4,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,7,OFF,0,OFF,5,OFF,2,OFF,3,OFF
1537440740.97533,-1,OFF,1,OFF,-3,OFF,2,OFF,2,OFF,2,OFF,2,OFF,5,OFF,-3,OFF,-2,OFF,1,OFF,0,OFF,-1,OFF,-4,OFF,0,OFF,5,OFF,2,OFF,3,OFF
