Data,Timestamp,Temperatura,Umidade,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,Horas de Trabalho,Falha
2016-01-01 00:00:00,1451606400,67,82,291,1,1,1041,846,334,706,1086,256,1295,766,968,1185,1355,1842,90,No
2016-01-01 01:00:00,1451610000,68,77,1180,1,1,1915,1194,637,1093,524,919,245,403,723,1446,719,748,91,No
2016-01-01 02:00:00,1451613600,64,76,1406,1,1,511,1577,1121,1948,1882,1301,273,1927,1123,717,1518,1689,92,No
2016-01-01 03:00:00,1451617200,63,80,550,1,1,1754,1834,1413,1151,945,1312,1494,1755,1434,502,1336,711,93,No
2016-01-01 04:00:00,1451620800,65,81,1928,1,2,1326,1082,233,1441,1736,1033,1549,802,1819,1616,1507,507,94,No
2016-01-01 05:00:00,1451624400,67,84,398,1,2,1901,1801,1153,1085,1547,2005,477,1217,1632,1324,1854,1739,95,No
2016-01-01 06:00:00,1451628000,67,83,847,0,2,1849,1141,1609,982,1159,672,1128,663,1114,1838,290,1192,96,No
2016-01-01 07:00:00,1451631600,67,76,1021,2,1,185,170,952,1183,1329,427,1638,850,379,1529,755,844,97,No
2016-01-01 08:00:00,1451635200,65,80,1731,2,0,1424,1176,1223,621,647,369,239,1196,1944,1583,1630,237,98,No
2016-01-01 09:00:00,1451638800,63,80,415,0,0,1008,1086,1759,1946,1814,1754,1442,341,1097,1819,472,491,99,No
2016-01-01 10:00:00,1451642400,61,83,525,2,2,603,1630,1740,583,646,319,933,1891,1371,1904,1586,1102,100,No
2016-01-01 11:00:00,1451646000,62,81,1719,3,1,880,575,1722,952,890,669,782,1720,641,1620,1046,1759,101,No
2016-01-01 12:00:00,1451649600,62,76,1116,0,0,588,166,1233,1362,322,1176,1669,1197,182,1641,1033,1427,102,No
2016-01-01 13:00:00,1451653200,60,82,282,1,1,1406,1727,945,1631,714,1072,1051,1857,559,1309,1668,1453,103,No
2016-01-01 14:00:00,1451656800,61,79,637,3,0,821,511,373,951,1151,1200,493,770,1781,1437,1978,1911,104,No
2016-01-01 15:00:00,1451660400,64,77,1831,0,2,1277,1622,662,688,1522,672,627,1545,1616,832,1127,1597,105,No
2016-01-01 16:00:00,1451664000,60,80,1622,3,2,846,1462,1618,695,1401,408,1481,1735,1247,1425,903,172,106,No
2016-01-01 17:00:00,1451667600,64,85,1885,3,2,503,569,1819,1002,1884,171,645,1917,1392,554,1704,467,107,No
2016-01-01 18:00:00,1451671200,62,82,616,2,2,634,1722,335,1299,1733,1589,1862,1834,1341,1512,542,1449,108,No
2016-01-01 19:00:00,1451674800,60,75,965,2,0,176,1456,746,1799,1428,1202,1862,1608,1253,226,1563,505,109,No
2016-01-01 20:00:00,1451678400,60,82,1238,2,1,171,1595,1153,1465,1603,662,675,245,932,1420,1472,741,110,No
2016-01-01 21:00:00,1451682000,67,78,1327,0,1,1248,1185,1918,1200,1972,600,1988,1017,745,1679,549,1256,111,No
2016-01-01 22:00:00,1451685600,63,79,632,1,2,1037,543,181,1042,1580,1182,1364,193,1543,905,2009,1524,112,No
2016-01-01 23:00:00,1451689200,66,85,861,3,1,1962,1391,1598,460,1185,392,1218,1080,270,1431,936,1311,113,No
2016-01-02 00:00:00,1451692800,67,75,298,2,2,678,211,1474,1826,245,1198,1720,1824,355,457,1588,1301,114,No
2016-01-02 01:00:00,1451696400,67,82,333,0,2,1407,1305,1639,1406,1539,1858,270,950,523,267,270,1303,115,No
2016-01-02 02:00:00,1451700000,69,82,1196,2,1,343,471,628,518,618,232,298,548,1792,343,305,1465,116,No
2016-01-02 03:00:00,1451703600,61,84,1909,1,2,1102,1846,889,272,1108,1604,1144,446,221,1292,779,1608,117,No
2016-01-02 04:00:00,1451707200,63,79,1645,0,1,311,1314,1503,1336,869,844,1565,860,803,1568,1740,1380,118,No
2016-01-02 05:00:00,1451710800,63,84,1004,3,2,1760,372,685,700,1478,1106,1561,588,382,909,1357,895,119,No
2016-01-02 06:00:00,1451714400,63,78,275,0,1,164,424,1791,1251,271,1399,270,1145,1112,1855,950,279,120,No
